name,score,popularity,genres,studios,type,year,episodes,themes,demographic,members,synopsis,features
Okaasan ni Naisho,4.01,12764.0,"Comedy, Ecchi",,ONA,,1.0,,,1761.0,,"Comedy, Ecchi  ONA  "
Shigeru,3.11,12313.0,"Avant Garde, Comedy",,ONA,,1.0,,,2046.0,,"Avant Garde, Comedy  ONA  "
Requiem (ONA),3.81,13617.0,Avant Garde,,ONA,,1.0,,,1379.0,,Avant Garde  ONA  
Chuugakusei,,19849.0,Comedy,,OVA,,2.0,,,353.0,,Comedy  OVA  
Gakken no Zunou Kaihatsu Video,,21138.0,,,OVA,,17.0,"Educational, Music",Kids,276.0,,"  OVA Educational, Music Kids"
Witch Village Story,,20124.0,Slice of Life,,TV,2005.0,24.0,,,334.0,,Slice of Life  TV  
Good Morning!!! Doronjo,5.63,15556.0,Comedy,Oddjob,TV,2015.0,243.0,Parody,,824.0,,Comedy Oddjob TV Parody 
One Punch Man: Road to Hero,7.7,789.0,"Action, Comedy",Madhouse,OVA,,1.0,"Parody, Super Power",Seinen,340510.0,,"Action, Comedy Madhouse OVA Parody, Super Power Seinen"
Fate/kaleid liner Prisma☆Illya 3rei!!,7.48,1856.0,"Action, Comedy",SILVER LINK.,TV,2016.0,12.0,Mahou Shoujo,,136837.0,,"Action, Comedy SILVER LINK. TV Mahou Shoujo "
Divine Gate,5.52,1539.0,"Action, Fantasy, Sci-Fi",Studio Pierrot,TV,2016.0,12.0,,,173775.0,,"Action, Fantasy, Sci-Fi Studio Pierrot TV  "
To LOVE-Ru Darkness 2nd Specials,7.53,2267.0,"Comedy, Romance, Sci-Fi, Ecchi",Xebec,Special,,2.0,"Harem, School",Shounen,103714.0,,"Comedy, Romance, Sci-Fi, Ecchi Xebec Special Harem, School Shounen"
Working!!! Lord of the Takanashi,8.13,2209.0,"Comedy, Romance",A-1 Pictures,Special,,1.0,"Love Status Quo, Workplace",Seinen,107428.0,,"Comedy, Romance A-1 Pictures Special Love Status Quo, Workplace Seinen"
Rewrite,6.64,1244.0,"Action, Comedy, Romance, Supernatural",8bit,TV,2016.0,13.0,School,,218259.0,,"Action, Comedy, Romance, Supernatural 8bit TV School "
Nanatsu no Taizai: Seisen no Shirushi,6.95,294.0,"Action, Adventure, Fantasy",A-1 Pictures,TV,2016.0,4.0,,Shounen,759655.0,,"Action, Adventure, Fantasy A-1 Pictures TV  Shounen"
Audition,,18467.0,,,Movie,,1.0,Music,,453.0,,  Movie Music 
